Date & Time,Temperature
"02/01/2018, 07:10:12",--
"02/01/2018, 07:10:12",--
"02/01/2018, 07:10:13",--
"02/01/2018, 07:10:16",--
"02/01/2018, 07:10:19",--
"02/01/2018, 07:10:22",--
"02/01/2018, 07:10:25",--
"02/01/2018, 07:10:28",--
"02/01/2018, 07:10:31",--
"02/01/2018, 07:10:34",--
"02/01/2018, 07:10:37",--
"02/01/2018, 07:10:40",--
"02/01/2018, 07:10:43",--
"02/01/2018, 07:10:43",--
"02/01/2018, 07:10:46",--
"02/01/2018, 07:10:49",--
"02/01/2018, 07:10:52",--
"02/01/2018, 07:10:55",--
"02/01/2018, 07:10:58",--
"02/01/2018, 07:11:01",--
"02/01/2018, 07:11:04",--
"02/01/2018, 07:11:07",--
"02/01/2018, 07:11:10",--
"02/01/2018, 07:11:13",--
"02/01/2018, 07:11:13",--
"02/01/2018, 07:11:16",--
"02/01/2018, 07:11:19",--
"02/01/2018, 07:11:22",--
"02/01/2018, 07:11:25",--
"02/01/2018, 07:11:28",--
"02/01/2018, 07:11:31",--
"02/01/2018, 07:11:34",--
"02/01/2018, 07:11:37",--
"02/01/2018, 07:11:40",--
"02/01/2018, 07:11:43",--
"02/01/2018, 07:11:43",--
"02/01/2018, 07:11:46",--
"02/01/2018, 07:11:49",--
"02/01/2018, 07:11:52",--
"02/01/2018, 07:11:55",--
"02/01/2018, 07:11:58",--
"02/01/2018, 07:12:01",--
"02/01/2018, 07:12:04",--
"02/01/2018, 07:12:07",--
"02/01/2018, 07:12:10",--
"02/01/2018, 07:12:13",--
"02/01/2018, 07:12:13",--
"02/01/2018, 07:12:16",--
"02/01/2018, 07:12:19",--
"02/01/2018, 07:12:22",--
"02/01/2018, 07:12:25",--
"02/01/2018, 07:12:28",--
"02/01/2018, 07:12:31",--
"02/01/2018, 07:12:34",--
"02/01/2018, 07:25:28",--
"02/01/2018, 07:25:28",--
"02/01/2018, 07:25:29",--
"02/01/2018, 07:25:32",--
"02/01/2018, 07:25:35",--
"02/01/2018, 07:25:48",--
"02/01/2018, 07:25:51",--
"02/01/2018, 08:00:56",--
"02/01/2018, 08:00:56",--
"02/01/2018, 08:00:56",--
"02/01/2018, 08:00:56",--
"02/01/2018, 08:00:56",--
"02/01/2018, 08:00:58",--
"02/01/2018, 08:00:59",88
"02/01/2018, 08:01:02",88
"02/01/2018, 08:01:02",89
"02/01/2018, 08:01:04",90
"02/01/2018, 08:01:06",91
"02/01/2018, 08:01:07",92
"02/01/2018, 08:01:09",93
"02/01/2018, 08:01:11",94
"02/01/2018, 08:01:14",95
"02/01/2018, 08:01:17",95
"02/01/2018, 08:01:17",96
"02/01/2018, 08:01:19",97
"02/01/2018, 08:01:21",98
"02/01/2018, 08:01:23",99
"02/01/2018, 08:01:26",99
"02/01/2018, 08:01:26",100
"02/01/2018, 08:01:28",101
"02/01/2018, 08:01:32",101
"02/01/2018, 08:01:32",102
"02/01/2018, 08:01:35",102
"02/01/2018, 08:01:36",103
"02/01/2018, 08:01:39",103
"02/01/2018, 08:01:39",104
"02/01/2018, 08:01:40",105
"02/01/2018, 08:01:43",105
"02/01/2018, 08:01:43",106
"02/01/2018, 08:01:46",106
"02/01/2018, 08:01:49",106
"02/01/2018, 08:01:50",107
"02/01/2018, 08:01:53",107
"02/01/2018, 08:01:53",108
"02/01/2018, 08:01:56",108
"02/01/2018, 08:01:57",109
"02/01/2018, 08:02:00",109
"02/01/2018, 08:02:02",110
"02/01/2018, 08:02:05",110
"02/01/2018, 08:02:06",111
"02/01/2018, 08:02:09",111
"02/01/2018, 08:02:12",112
"02/01/2018, 08:02:15",112
"02/01/2018, 08:02:18",112
"02/01/2018, 08:02:19",113
"02/01/2018, 08:02:22",113
"02/01/2018, 08:02:25",113
"02/01/2018, 08:02:27",114
"02/01/2018, 08:02:30",114
"02/01/2018, 08:02:33",114
"02/01/2018, 08:02:36",114
"02/01/2018, 08:02:36",115
"02/01/2018, 08:02:39",115
"02/01/2018, 08:02:42",115
"02/01/2018, 08:02:45",115
"02/01/2018, 08:02:48",116
"02/01/2018, 08:02:51",116
"02/01/2018, 08:02:54",116
"02/01/2018, 08:02:57",116
"02/01/2018, 08:02:57",117
"02/01/2018, 08:03:00",117
"02/01/2018, 08:03:03",117
"02/01/2018, 08:03:06",117
"02/01/2018, 08:03:09",117
"02/01/2018, 08:03:12",117
"02/01/2018, 08:03:15",118
"02/01/2018, 08:03:18",118
"02/01/2018, 08:03:21",118
"02/01/2018, 08:03:24",118
"02/01/2018, 08:03:27",118
"02/01/2018, 08:03:30",118
"02/01/2018, 08:03:33",118
"02/01/2018, 08:03:36",118
"02/01/2018, 08:03:39",118
"02/01/2018, 08:03:42",118
