Date & Time,Temperature
"02/01/2018, 07:10:12",--
"02/01/2018, 07:10:12",--
"02/01/2018, 07:10:13",--
"02/01/2018, 07:10:16",--
"02/01/2018, 07:10:19",--
"02/01/2018, 07:10:22",--
"02/01/2018, 07:10:25",--
"02/01/2018, 07:10:28",--
"02/01/2018, 07:10:31",--
"02/01/2018, 07:10:34",--
"02/01/2018, 07:10:37",--
"02/01/2018, 07:10:40",--
"02/01/2018, 07:10:43",--
"02/01/2018, 07:10:43",--
"02/01/2018, 07:10:46",--
"02/01/2018, 07:10:49",--
"02/01/2018, 07:10:52",--
"02/01/2018, 07:10:55",--
"02/01/2018, 07:10:58",--
"02/01/2018, 07:11:01",--
"02/01/2018, 07:11:04",--
"02/01/2018, 07:11:07",--
"02/01/2018, 07:11:10",--
"02/01/2018, 07:11:13",--
"02/01/2018, 07:11:13",--
"02/01/2018, 07:11:16",--
"02/01/2018, 07:11:19",--
"02/01/2018, 07:11:22",--
"02/01/2018, 07:11:25",--
"02/01/2018, 07:11:28",--
"02/01/2018, 07:11:31",--
"02/01/2018, 07:11:34",--
"02/01/2018, 07:11:37",--
"02/01/2018, 07:11:40",--
"02/01/2018, 07:11:43",--
"02/01/2018, 07:11:43",--
"02/01/2018, 07:11:46",--
"02/01/2018, 07:11:49",--
"02/01/2018, 07:11:52",--
"02/01/2018, 07:11:55",--
"02/01/2018, 07:11:58",--
"02/01/2018, 07:12:01",--
"02/01/2018, 07:12:04",--
"02/01/2018, 07:12:07",--
"02/01/2018, 07:12:10",--
"02/01/2018, 07:12:13",--
"02/01/2018, 07:12:13",--
"02/01/2018, 07:12:16",--
"02/01/2018, 07:12:19",--
"02/01/2018, 07:12:22",--
"02/01/2018, 07:12:25",--
"02/01/2018, 07:12:28",--
"02/01/2018, 07:12:31",--
"02/01/2018, 07:12:34",--
"02/01/2018, 07:25:28",--
"02/01/2018, 07:25:28",--
"02/01/2018, 07:25:29",--
"02/01/2018, 07:25:32",--
"02/01/2018, 07:25:35",--
"02/01/2018, 07:25:48",--
"02/01/2018, 07:25:51",--
"02/01/2018, 08:00:56",--
"02/01/2018, 08:00:56",--
"02/01/2018, 08:00:56",--
"02/01/2018, 08:00:56",--
"02/01/2018, 08:00:56",--
"02/01/2018, 08:00:58",--
"02/01/2018, 08:00:59",43
"02/01/2018, 08:01:02",43
"02/01/2018, 08:01:04",44
"02/01/2018, 08:01:06",45
"02/01/2018, 08:01:09",45
"02/01/2018, 08:01:09",46
"02/01/2018, 08:01:11",47
"02/01/2018, 08:01:15",47
"02/01/2018, 08:01:15",48
"02/01/2018, 08:01:18",48
"02/01/2018, 08:01:18",49
"02/01/2018, 08:01:21",49
"02/01/2018, 08:01:21",50
"02/01/2018, 08:01:24",50
"02/01/2018, 08:01:24",51
"02/01/2018, 08:01:26",52
"02/01/2018, 08:01:29",52
"02/01/2018, 08:01:30",53
"02/01/2018, 08:01:34",53
"02/01/2018, 08:01:36",54
"02/01/2018, 08:01:39",54
"02/01/2018, 08:01:39",55
"02/01/2018, 08:01:41",56
"02/01/2018, 08:01:44",56
"02/01/2018, 08:01:46",57
"02/01/2018, 08:01:49",57
"02/01/2018, 08:01:52",58
"02/01/2018, 08:01:55",58
"02/01/2018, 08:01:55",59
"02/01/2018, 08:01:58",59
"02/01/2018, 08:01:59",60
"02/01/2018, 08:02:02",60
"02/01/2018, 08:02:04",61
"02/01/2018, 08:02:07",61
"02/01/2018, 08:02:10",62
"02/01/2018, 08:02:13",62
"02/01/2018, 08:02:15",63
"02/01/2018, 08:02:18",63
"02/01/2018, 08:02:21",63
"02/01/2018, 08:02:21",64
"02/01/2018, 08:02:24",64
"02/01/2018, 08:02:27",65
"02/01/2018, 08:02:30",65
"02/01/2018, 08:02:33",65
"02/01/2018, 08:02:33",66
"02/01/2018, 08:02:36",66
"02/01/2018, 08:02:39",66
"02/01/2018, 08:02:39",67
"02/01/2018, 08:02:42",67
"02/01/2018, 08:02:45",67
"02/01/2018, 08:02:46",68
"02/01/2018, 08:02:49",68
"02/01/2018, 08:02:52",68
"02/01/2018, 08:02:53",69
"02/01/2018, 08:02:56",69
"02/01/2018, 08:02:59",69
"02/01/2018, 08:03:00",70
"02/01/2018, 08:03:03",70
"02/01/2018, 08:03:06",70
"02/01/2018, 08:03:09",71
"02/01/2018, 08:03:12",71
"02/01/2018, 08:03:15",71
"02/01/2018, 08:03:16",72
"02/01/2018, 08:03:19",72
"02/01/2018, 08:03:22",72
"02/01/2018, 08:03:23",73
"02/01/2018, 08:03:26",73
"02/01/2018, 08:03:29",73
"02/01/2018, 08:03:32",73
"02/01/2018, 08:03:33",74
"02/01/2018, 08:03:36",74
"02/01/2018, 08:03:39",74
